TIME|DIRECTION|ORDERID|SYMBOL|ROUTE||QUANTITY|PRICE
2012-05-29 11:17:18|B|1337|ZNGA|ARCA||6500|5.48
2012-05-29 11:17:53|B|1389|AAPL|ARCA||200|569.85
2012-05-29 11:18:22|S|1970|BRK/B|ARCA||600|77.48
2012-05-29 11:18:24|B|2335|BRK/B|ARCA||600|79.3
2012-05-29 11:19:27|B|2416|ZNGA|ARCA||4000|6.08
2012-05-29 11:19:29|S|2997|LNKD|ARCA||500|91.27
2012-05-29 11:19:40|S|3078|ZNGA|ARCA||3900|6.04
2012-05-29 11:19:44|S|3264|AAPL|ARCA||200|565.71
2012-05-29 11:19:45|S|3450|BRK/B|ARCA||500|71.18
2012-05-29 11:19:46|B|3531|MS|ARCA||1100|13.44
2012-05-29 11:19:47|S|3612|LNKD|ARCA||400|95.89
2012-05-29 11:19:48|S|3883|BRK/B|ARCA||300|75.36
2012-05-29 11:19:51|S|4464|MSFT|ARCA||2200|25.91
2012-05-29 11:20:19|B|4735|BRK/B|ARCA||700|79.3
2012-05-29 11:20:55|B|4882|BRK/B|ARCA||900|79.18
2012-05-29 11:20:56|B|4911|AAPL|ARCA||100|561.7
2012-05-29 11:20:57|B|5138|IBM|ARCA||500|195.61
2012-05-29 11:21:34|B|5503|ZNGA|ARCA||8200|5.66
2012-05-29 11:23:02|B|5730|GOOG|ARCA||200|581.22
2012-05-29 11:24:05|S|5957|MS|ARCA||1100|13.45
2012-05-29 11:24:06|B|6184|ZNGA|ARCA||11900|6.11
2012-05-29 11:24:15|S|6600|ZNGA|ARCA||11100|6.11
2012-05-29 11:24:19|B|6965|MSFT|ARCA||2300|26
2012-05-29 11:24:20|S|6976|IBM|ARCA||400|175.75
2012-05-29 11:24:24|S|7445|BRK/B|ARCA||800|79.22
2012-05-29 11:25:27|S|7497|MS|ARCA||3700|13.45
2012-05-29 11:25:44|S|7724|LNKD|ARCA||900|89.01
2012-05-29 11:25:45|B|8140|IBM|ARCA||300|195.85
2012-05-29 11:26:00|S|8151|LNKD|ARCA||1100|95.54
2012-05-29 11:26:02|S|8337|MS|ARCA||5800|13.45
2012-05-29 11:26:16|S|8484|MSFT|ARCA||2400|27.39
2012-05-29 11:26:21|B|9008|MSFT|ARCA||1500|29.13
2012-05-29 11:27:14|B|9019|GOOG|ARCA||200|540.91
2012-05-29 11:27:39|S|9166|MS|ARCA||1600|13.01
2012-05-29 11:27:52|B|9247|AAPL|ARCA||300|461.55
2012-05-29 11:27:55|B|9474|AAPL|ARCA||200|555.31
2012-05-29 11:27:59|B|10055|MS|ARCA||4100|13.45
2012-05-29 11:28:06|S|10326|FB|ARCA||2000|25.33
2012-05-29 11:28:25|B|10512|BRK/B|ARCA||500|74.99
